STATION,DATE,TMAX,PRCP
USC00047851,1928,72.4,19.75
USC00047851,1929,72.5,8.75
USC00047851,1930,71,
USC00047851,1931,72.9,29.26
USC00047851,1932,70.7,
USC00047851,1933,69.3,21.27
USC00047851,1934,71.8,16.02
USC00047851,1935,69.2,
USC00047851,1936,71.7,
USC00047851,1937,70,
USC00047851,1938,69.5,
USC00047851,1939,70.2,
USC00047851,1940,70.8,
USC00047851,1941,69.8,
USC00047851,1942,,
USC00047851,1943,71.1,26.98
USC00047851,1944,68.6,24.75
USC00047851,1945,69.2,22.34
USC00047851,1946,69.5,18.46
USC00047851,1947,71.4,7.38
USC00047851,1948,69.3,16.43
USC00047851,1949,69.6,16.83
USC00047851,1950,70.3,21.13
USC00047851,1951,69.4,18.75
USC00047851,1952,68.5,28.82
USC00047851,1953,70.8,9.94
USC00047851,1954,70.7,21.78
USC00047851,1955,68.6,24.26
USC00047851,1956,70.9,13.49
USC00047851,1957,70.7,21.3
USC00047851,1958,,29.3
USC00047851,1959,73.9,11.65
USC00047851,1960,70.4,20.24
USC00047851,1961,,
USC00047851,1962,,
USC00047851,1963,70.4,26.89
USC00047851,1964,69.5,19.43
USC00047851,1965,69.1,21.75
USC00047851,1966,70.6,16.74
USC00047851,1967,70.6,28.48
USC00047851,1968,70.8,18.98
USC00047851,1969,70.2,48.77
USC00047851,1970,70.6,27.71
USC00047851,1971,69.7,15.39
USC00047851,1972,70,14.39
USC00047851,1973,69.4,39.16
USC00047851,1974,69.2,27.93
USC00047851,1975,68.8,19.3
USC00047851,1976,72.4,16.93
USC00047851,1977,71.5,16.15
USC00047851,1978,,
USC00047851,1979,71.2,22.42
USC00047851,1980,71.8,
USC00047851,1981,72.7,22.97
USC00047851,1982,70.4,34.92
USC00047851,1983,71.6,
USC00047851,1984,73.4,11.72
USC00047851,1987,71,
USC00047851,1989,,
USC00047851,1991,71.9,22.78
USC00047851,1992,73.9,23.73
USC00047851,1993,73.5,28.04
USC00047851,1994,71.8,19.58
USC00047851,1995,73.3,41.45
USC00047851,1996,74.5,37.64
USC00047851,1997,,
USC00047851,1998,71,36.57
USC00047851,1999,71.4,15.16
USC00047851,2000,73.2,25.41
USC00047851,2001,72.6,32.24
USC00047851,2002,72.9,18.35
USC00047851,2003,74.9,
USC00047851,2004,73.8,25.78
USC00047851,2009,70.3,13.34
USC00047851,2010,68.2,27.87
USC00047851,2011,,9.86
USC00047851,2012,73,21.52
USC00047851,2013,74.2,4.57
USC00047851,2014,75.5,16.91
USC00047851,2015,74.9,9.95
USC00047851,2016,73.1,22.77
USC00047851,2017,75.1,30.76
USC00047851,2018,74,20.33
USC00047851,2019,71.9,29.07
USC00047851,2020,74.2,12.18
USC00047851,2021,72.1,23.89
USC00047851,2022,73.7,16.44
USC00047851,2023,70.7,40.94
USC00047851,2024,72.3,23.11
