"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1930","16.98"," ,Z","24.3","Z","34.1","Z","14.5","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1931","12.01"," ,Z","26.3","Z","36.3","Z","16.3","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1932","12.98"," ,Z","22.3","Z","33.0","Z","11.7","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1933","11.18"," ,Z","22.0","Z","32.0","Z","12.1","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1934","9.47"," ,Z","25.9","Z","35.9","Z","16.0","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1935","17.53"," ,Z","23.8","Z","33.4","Z","14.2","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1936","11.17"," ,Z","25.8","Z","36.1","Z","15.5","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1937","16.53"," ,Z","27.5","Z","38.3","Z","16.6","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1938","8.87"," ,Z","27.3","Z","37.8","Z","16.7","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1939","10.80"," ,Z","25.1","Z","35.3","Z","14.8","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1940","10.50"," ,Z","30.1","Z","41.3","Z","18.9","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1941","9.03"," ,Z","27.6","Z","38.4","Z","16.8","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1942","14.26"," ,Z","27.7","Z","37.8","Z","17.6","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1943","9.54"," ,Z","27.1","Z","38.5","Z","15.8","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1944","12.15"," ,Z","27.5","Z","38.2","Z","16.7","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1945","14.43"," ,Z","25.4","Z","35.5","Z","15.4","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1946","11.36"," ,Z","24.4","Z","35.1","Z","13.7","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1947","8.57"," ,Z","26.2","Z","36.9","Z","15.5","Z"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.80309","-147.87606","131.1","1948","17.43"," ,X","23.2","X","33.3","X","13.2","X"
