"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1928","19.75"," ,6","60.2","6","72.4","6","47.9","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1929","8.75"," ,6","59.3","6","72.5","6","46.2","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1930",,,"58.9","6","71.0","6","46.8","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1931","29.26"," ,6","60.7","6","72.9","6","48.4","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1932",,,"58.8","6","70.7","6","46.9","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1933","21.27"," ,6","57.4","6","69.3","6","45.5","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1934","16.02"," ,6","60.5","6","71.8","6","49.3","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1935",,,"57.8","6","69.2","6","46.3","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1936",,,"59.9","6","71.7","6","48.2","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1937",,,"58.6","6","70.0","6","47.2","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1938",,,"58.9","6","69.5","6","48.2","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1939",,,"59.2","6","70.2","6","48.1","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1940",,,"60.3","6","70.8","6","49.7","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1941",,,"59.7","6","69.8","6","49.5","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1942",,,,,,,"47.6","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1943","26.98"," ,6","59.8","6","71.1","6","48.5","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1944","24.75"," ,6","58.0","6","68.6","6","47.3","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1945","22.34"," ,6","58.6","6","69.2","6","48.1","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1946","18.46"," ,6","58.1","6","69.5","6","46.6","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1947","7.38"," ,6","59.6","6","71.4","6","47.9","6"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1948","16.43"," ,0","57.9","0","69.3","0","46.6","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1949","16.83"," ,0","58.2","0","69.6","0","46.7","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1950","21.13"," ,0","59.5","0","70.3","0","48.7","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1951","18.75"," ,0","58.6","0","69.4","0","47.8","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1952","28.82"," ,0","57.5","0","68.5","0","46.5","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1953","9.94"," ,0","59.1","0","70.8","0","47.4","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1954","21.78"," ,0","58.8","0","70.7","0","46.8","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1955","24.26"," ,0","57.4","0","68.6","0","46.3","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1956","13.49"," ,0","58.8","0","70.9","0","46.8","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1957","21.30"," ,0","59.3","0","70.7","0","47.9","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1958","29.30"," ,0",,,,,,
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1959","11.65"," ,0","61.8","0","73.9","0","49.6","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1960","20.24"," ,0","59.0","0","70.4","0","47.7","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1961",,,,,,,,
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1962",,,,,,,,
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1963","26.89"," ,0","58.7","0","70.4","0","47.0","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1964","19.43"," ,0","57.7","0","69.5","0","46.0","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1965","21.75"," ,0","58.2","0","69.1","0","47.2","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1966","16.74"," ,0","58.7","0","70.6","0","46.9","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1967","28.48"," ,0","59.0","0","70.6","0","47.4","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1968","18.98"," ,0","59.0","0","70.8","0","47.3","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1969","48.77"," ,0","58.7","0","70.2","0","47.2","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1970","27.71"," ,0","58.2","0","70.6","0","45.7","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1971","15.39"," ,0","57.1","0","69.7","0","44.5","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1972","14.39"," ,0","58.7","0","70.0","0","47.3","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1973","39.16"," ,0","58.2","0","69.4","0","47.1","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1974","27.93"," ,0","57.6","0","69.2","0","45.9","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1975","19.30"," ,0","57.3","0","68.8","0","45.7","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1976","16.93"," ,0","60.1","0","72.4","0","47.8","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1977","16.15"," ,0","60.1","0","71.5","0","48.8","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1978",,,,,,,,
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1979","22.42"," ,0","59.5","0","71.2","0","47.8","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1980",,,"60.1","0","71.8","0","48.4","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1981","22.97"," ,0","60.5","0","72.7","0","48.2","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1982","34.92"," ,0","58.5","0","70.4","0","46.5","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1983",,,"60.3","0","71.6","0","49.0","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1984","11.72"," ,0",,,"73.4","0",,
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1987",,,"58.7","0","71.0","0","46.5","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1989",,,,,,,,
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1991","22.78"," ,0",,,"71.9","0",,
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1992","23.73"," ,0","61.2","0","73.9","0","48.5","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1993","28.04"," ,0","60.4","0","73.5","0","47.4","0"
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1994","19.58"," ,0","59.1","0","71.8","0","46.4","0"
